     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
  588017703466631265  178.3028   12.2778  16.80   0.0538   235.19  10.3953  -0.2155    2
  588017566023680110  178.0141   12.1328  17.17   0.0562   245.73   9.9572   0.1201    2
  588017705077375064  178.5049   13.5770  17.26   0.0250   112.09   9.0491   0.1919    2
  588017567634817135  179.2305   13.4170  15.86   0.0438   192.50  10.4650  -0.5368    2
  588017705077637288  179.2198   13.6120  15.23   0.0546   238.55  11.1214  -0.9585    2
  588017705077637210  179.1052   13.5406  15.94   0.0554   242.25  10.7613  -0.6365    2
  588017705077571667  179.0865   13.5791  17.62   0.0551   240.79  10.0777  -0.0831    2
  588017704003764396  178.9339   12.7481  16.49   0.0215    97.02   9.3463  -0.2054    2
  588017567097880705  179.0678   13.0425  16.19   0.0557   243.25  10.2570  -0.1436    2
  588017705077637308  179.2422   13.6494  17.48   0.0563   245.85  10.2343  -0.2964    2
  588017705077702744  179.3467   13.5884  15.08   0.0546   238.65  11.2323  -1.2481    2
  588017704540897335  179.4368   13.1402  17.79   0.0436   191.58   9.2360   0.4929    2
  588017704540897344  179.4606   13.1373  17.32   0.0435   190.93   9.6051   0.1693    2
  588017567098077360  179.5193   13.0163  17.14   0.0482   211.16  10.1677  -0.4011    2
  588017705077833818  179.6369   13.6786  16.98   0.0395   173.81   9.6727   0.0729    2
  587735346962301120  179.7265   13.7897  16.53   0.0467   204.85  10.2618  -0.3860    2
  587735346962432013  179.9013   13.7788  14.23   0.0423   186.11  11.2490  -1.2943    2
  587735346962366595  179.8828   13.7948  17.43   0.0414   181.99   9.4658   0.2776    2
  587735346962170238  179.3752   13.6947  17.49   0.0554   242.28   9.6155   0.4726    2
  587735346962169953  179.3096   13.6869  15.06   0.0564   246.19  11.2558  -1.0727    2
  588017704540307564  178.1216   13.1521  16.74   0.0560   244.51  10.3211  -0.2597    2
